rollout/ep_len_mean,rollout/ep_rew_mean,stats/capacity,stats/empty,stats/episodes,stats/full,stats/initial_level,stats/penalty,stats/successful_episodes,stats/switch_violations,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,eval/crash_episodes,eval/crash_rate,eval/mean_ep_length,eval/mean_reward,eval/safe_rate,eval/success_episodes,eval/success_rate,eval/this_episodes,step,wall_time,eval/wall_time
1000.0,385.377197265625,100.0,152.0,17345.0,228.0,50.0,10.0,16521.0,0.0,825.0,0.09573273360729218,0.498046875,0.20000000298023224,-0.6931222677230835,-0.0025025606155395508,9.999999747378752e-05,16.321130752563477,0.05668286234140396,47.35664367675781,0.0,0.0,1000.0,852.2242431640625,1.0,30.0,1.0,30.0,2048,1672625135.176338,74.91590118408203
945.25,407.75848388671875,100.0,152.0,17347.0,229.0,50.0,10.0,16522.0,0.0,643.0,0.09549016505479813,0.49755859375,0.20000000298023224,-0.6930838823318481,0.01547461748123169,9.999999747378752e-05,12.789504051208496,0.06263333559036255,54.18722152709961,0.0,0.0,1000.0,916.4801025390625,1.0,30.0,1.0,30.0,4096,1672625139.057518,153.7334680557251
764.75,306.0599365234375,100.0,152.0,17351.0,232.0,50.0,10.0,16523.0,0.0,596.0,0.09145009517669678,0.494140625,0.20000000298023224,-0.6926552653312683,0.1522236466407776,9.999999747378752e-05,11.459287643432617,0.05847509577870369,30.63094711303711,0.0,0.0,1000.0,890.1737060546875,1.0,30.0,1.0,30.0,6144,1672625142.991317,233.72464299201965
745.0999755859375,304.4372863769531,100.0,152.0,17353.0,233.0,50.0,10.0,16524.0,0.0,577.0,0.08103466033935547,0.4951171875,0.20000000298023224,-0.6900702714920044,0.25133198499679565,9.999999747378752e-05,12.895977973937988,0.057173989713191986,42.166908264160156,0.0,0.0,1000.0,907.2024536132812,1.0,30.0,1.0,30.0,8192,1672625146.8849869,312.6150288581848
787.5833129882812,346.82843017578125,100.0,152.0,17355.0,233.0,50.0,10.0,16526.0,0.0,131.0,inf,0.521191418170929,0.20000000298023224,-0.6661593914031982,0.16241037845611572,9.999999747378752e-05,14.81392765045166,0.04857327789068222,42.6219367980957,0.0,0.0,1000.0,906.0810546875,1.0,30.0,1.0,30.0,10240,1672625210.419997,391.62708592414856
817.9285888671875,397.6902160644531,100.0,152.0,17386.0,233.0,50.0,10.0,16556.0,0.0,150.0,inf,0.5226074457168579,0.20000000298023224,-0.6477715969085693,0.059645652770996094,9.999999747378752e-05,18.043142318725586,0.037721168249845505,53.74030303955078,0.0,0.0,1000.0,913.4349975585938,1.0,30.0,1.0,30.0,12288,1672625214.3853,470.5542278289795
840.6875,430.8799133300781,100.0,152.0,17388.0,233.0,50.0,10.0,16558.0,0.0,167.0,0.045422546565532684,0.49091798067092896,0.20000000298023224,-0.6235082745552063,0.023330211639404297,9.999999747378752e-05,18.902565002441406,0.017343921586871147,60.833274841308594,0.0,0.0,1000.0,915.9590454101562,1.0,30.0,1.0,30.0,14336,1672625218.378751,549.7280571460724
858.388916015625,473.0195617675781,100.0,152.0,17390.0,233.0,50.0,10.0,16560.0,0.0,182.0,0.02329433709383011,0.32954102754592896,0.20000000298023224,-0.565700352191925,0.01108849048614502,9.999999747378752e-05,28.611242294311523,0.004415553063154221,73.16053009033203,0.0,0.0,1000.0,918.6348266601562,1.0,30.0,1.0,30.0,16384,1672625222.4281118,628.8352088928223
872.5499877929688,509.3266906738281,100.0,152.0,17392.0,233.0,50.0,10.0,16562.0,0.0,196.0,inf,0.07294921576976776,0.20000000298023224,-0.4750650227069855,0.0014690756797790527,9.999999747378752e-05,27.850719451904297,-0.0035870876163244247,77.4619140625,0.0,0.0,1000.0,893.0960083007812,1.0,30.0,1.0,30.0,18432,1672625226.4549718,707.4385190010071
884.1363525390625,542.485107421875,100.0,152.0,17394.0,233.0,50.0,10.0,16564.0,0.0,130.0,0.006930212490260601,0.0302734375,0.20000000298023224,-0.4481787085533142,0.001086413860321045,9.999999747378752e-05,31.279203414916992,-0.0008933439385145903,76.20049285888672,0.0,0.0,1000.0,912.9468383789062,1.0,30.0,1.0,30.0,20480,1672625289.620407,783.9399468898773
